Username,body,nonfl,money,humans,sad,past,Quant,anger,home,sexual,NEGEMO,inhib,family,space,filler,third_person,anx,negemo,number_words,swear,health,Numb,time,Affect,cause,friend,relig,number_classified_words,social,leisure,sensory,first_person,second_person,present,cognitive,POSEMO,work,ingest,motion,future,achieve,posemo,Openness,Extraversion,Neuroticism,Agreeableness,Conscientiousness
chelseiiixo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.962665888872685,0.0,0.0,0.0,0.0,0.0,0.0,7.962665888872685,27428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.772641096689515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8099752078168296,0.0,0.0,0.0,0.0,0.0,3.8099752078168296,0.030914456840137137,0.009372101277656609,-0.019466582112807763,-0.02473429323776873,-0.012800275786849535
danielaaquino98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.527318932655654,0.0,0.0,0.0,0.0,0.0,0.0,5.527318932655654,11018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.010891268832818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.483572336177165,0.0,0.0,0.0,0.0,0.0,4.483572336177165,0.001957441926345609,0.016125972379603424,-0.008308946175637396,-0.008344082861189804,-0.004459006373937681
_miic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.583041421400455,0.0,0.0,0.0,0.0,0.0,0.0,5.583041421400455,55382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.987324401430067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.404282980029612,0.0,0.0,0.0,0.0,0.0,5.404282980029612,0.03585149990467116,0.014078801334604419,-0.008715791420400383,-0.007318829551954233,-0.0010749315538608232
wtfmegara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.913615492589156,0.0,0.0,0.0,0.0,0.0,0.0,6.913615492589156,42033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.719363357362072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.805747864772917,0.0,0.0,0.0,0.0,0.0,4.805747864772917,0.03176997095179246,0.010430012154923791,-0.013003268644416975,-0.01295020725175111,-0.007484874742480431
teeeeepick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.998197765228884,0.0,0.0,0.0,0.0,0.0,0.0,4.998197765228884,24969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.542592815090712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5443950498618286,0.0,0.0,0.0,0.0,0.0,3.5443950498618286,0.04115033574529674,0.013332944524843246,-0.008535954172696576,-0.0035274211287988455,0.00392137867824409
el__phill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56850527972716,0.0,0.0,0.0,0.0,0.0,0.0,6.56850527972716,30494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.445071161539975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.876565881812816,0.0,0.0,0.0,0.0,0.0,5.876565881812816,0.02843754051647382,0.018826855446720157,-0.00772150044523596,-0.014760841495992912,-0.004071949243098842
carolinevilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.771955082061618,0.0,0.0,0.0,0.0,0.0,0.0,3.771955082061618,3473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.436510221710337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.664555139648718,0.0,0.0,0.0,0.0,0.0,4.664555139648718,0.026045884146341465,0.012135585365853657,-0.00595355792682927,0.0025686920731707317,0.0012082317073170744
breecolilli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833645209580839,0.0,0.0,0.0,0.0,0.0,0.0,5.833645209580839,21376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.049775449101796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.216130239520958,0.0,0.0,0.0,0.0,0.0,5.216130239520958,0.02363893789664544,0.017204470534904825,-0.011434683590208525,-0.0062998712601994725,-0.003709268359020846
rielcrowley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.726634251755808,0.0,0.0,0.0,0.0,0.0,0.0,5.726634251755808,22212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.638393661084098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.911759409328291,0.0,0.0,0.0,0.0,0.0,4.911759409328291,0.023077673931265613,0.014825437971500436,-0.004500306370494549,-0.00013472212908633685,0.00040164165968147654
dbianchicny11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.423213380638622,0.0,0.0,0.0,0.0,0.0,0.0,5.423213380638622,3946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.819057273188038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.395843892549417,0.0,0.0,0.0,0.0,0.0,3.395843892549417,-0.005158295839753467,0.01641926348228043,-0.006453151001540836,-0.012055323574730372,-0.0060969876733436065
